State,County,Year,Value,Distance to Parks,,County,Percent of adults who have obesity (%),95% CI
New York,Albany,2020,67.40%,Distance to Parks: 1/2 Mile,,Albany ,30.1,
New York,Allegany,2020,8.00%,Distance to Parks: 1/2 Mile,,Allegany ,36.6,
New York,Bronx,2020,99.60%,Distance to Parks: 1/2 Mile,,Bronx ,34.5,
New York,Broome,2020,63.90%,Distance to Parks: 1/2 Mile,,Broome ,34.2,
New York,Cattaraugus,2020,31.60%,Distance to Parks: 1/2 Mile,,Cattaraugus ,43.1,
New York,Cayuga,2020,43.40%,Distance to Parks: 1/2 Mile,,Cayuga,39.4,
New York,Chautauqua,2020,45.20%,Distance to Parks: 1/2 Mile,,Chautauqua ,35.6,
New York,Chemung,2020,65.20%,Distance to Parks: 1/2 Mile,,Chemung ,33.8,
New York,Chenango,2020,18.20%,Distance to Parks: 1/2 Mile,,Chenango,37.7,
New York,Clinton,2020,52.40%,Distance to Parks: 1/2 Mile,,Clinton ,36.4,
New York,Columbia,2020,28.10%,Distance to Parks: 1/2 Mile,,Columbia ,24.8,
New York,Cortland,2020,51.60%,Distance to Parks: 1/2 Mile,,Cortland ,49,
New York,Delaware,2020,23.90%,Distance to Parks: 1/2 Mile,,Delaware ,30.6,
New York,Dutchess,2020,61.40%,Distance to Parks: 1/2 Mile,,Dutchess ,31.4,
New York,Erie,2020,76.90%,Distance to Parks: 1/2 Mile,,Erie ,33.9,
New York,Essex,2020,96.50%,Distance to Parks: 1/2 Mile,,Essex ,31.1,
New York,Franklin,2020,42.40%,Distance to Parks: 1/2 Mile,,Fulton ,33.8,
New York,Fulton,2020,65.90%,Distance to Parks: 1/2 Mile,,Franklin ,40,
New York,Genesee,2020,38.40%,Distance to Parks: 1/2 Mile,,Genesee ,39.8,
New York,Greene,2020,32.00%,Distance to Parks: 1/2 Mile,,Greene ,35.6,
New York,Hamilton,2020,100.00%,Distance to Parks: 1/2 Mile,,Hamilton ,24.8,
New York,Herkimer,2020,55.00%,Distance to Parks: 1/2 Mile,,Herkimer ,34.7,
New York,Jefferson,2020,30.60%,Distance to Parks: 1/2 Mile,,Jefferson ,35.8,
New York,Kings,2020,100.00%,Distance to Parks: 1/2 Mile,,Kings ,24.3,
New York,Lewis,2020,12.70%,Distance to Parks: 1/2 Mile,,Lewis ,44.5,
New York,Livingston,2020,39.30%,Distance to Parks: 1/2 Mile,,Livingston ,37.8,
New York,Madison,2020,37.60%,Distance to Parks: 1/2 Mile,,Madison ,34.9,
New York,Monroe,2020,75.60%,Distance to Parks: 1/2 Mile,,Monroe ,31.1,
New York,Montgomery,2020,43.50%,Distance to Parks: 1/2 Mile,,Montgomery ,36.2,
New York,Nassau,2020,87.50%,Distance to Parks: 1/2 Mile,,Nassau ,24.9,
New York,New York,2020,100.00%,Distance to Parks: 1/2 Mile,,New York ,17.2,
New York,Niagara,2020,61.80%,Distance to Parks: 1/2 Mile,,Niagara ,30.9,
New York,Oneida,2020,57.30%,Distance to Parks: 1/2 Mile,,Oneida  ,31.9,
New York,Onondaga,2020,59.10%,Distance to Parks: 1/2 Mile,,Onondaga  ,34.8,
New York,Ontario,2020,44.80%,Distance to Parks: 1/2 Mile,,Ontario ,38.9,
New York,Orange,2020,68.40%,Distance to Parks: 1/2 Mile,,Orange ,37.6,
New York,Orleans,2020,38.20%,Distance to Parks: 1/2 Mile,,Orleans ,48.4,
New York,Oswego,2020,40.30%,Distance to Parks: 1/2 Mile,,Oswego ,42.2,
New York,Otsego,2020,26.30%,Distance to Parks: 1/2 Mile,,Otsego ,34,
New York,Putnam,2020,77.20%,Distance to Parks: 1/2 Mile,,Putnam ,30.2,
New York,Queens,2020,99.90%,Distance to Parks: 1/2 Mile,,Queens ,26.7,
New York,Rensselaer,2020,53.50%,Distance to Parks: 1/2 Mile,,Rensselaer ,35,
New York,Richmond,2020,99.80%,Distance to Parks: 1/2 Mile,,Richmond ,30.2,
New York,Rockland,2020,83.70%,Distance to Parks: 1/2 Mile,,Rockland ,23.9,
New York,Saratoga,2020,62.20%,Distance to Parks: 1/2 Mile,,Saratoga ,32.3,
New York,Schenectady,2020,80.70%,Distance to Parks: 1/2 Mile,,Schenectady ,43,
New York,Schoharie,2020,13.00%,Distance to Parks: 1/2 Mile,,Schoharie,31.9,
New York,Schuyler,2020,19.00%,Distance to Parks: 1/2 Mile,,Schuyler ,30.4,
New York,Seneca,2020,32.20%,Distance to Parks: 1/2 Mile,,Seneca ,36.5,
New York,St. Lawrence,2020,20.90%,Distance to Parks: 1/2 Mile,,St. Lawrence ,43.6,
New York,Steuben,2020,28.60%,Distance to Parks: 1/2 Mile,,Steuben ,30.8,
New York,Suffolk,2020,86.10%,Distance to Parks: 1/2 Mile,,Suffolk ,29.4,
New York,Sullivan,2020,26.10%,Distance to Parks: 1/2 Mile,,Sullivan ,32.3,
New York,Tioga,2020,25.80%,Distance to Parks: 1/2 Mile,,Tioga ,37.2,
New York,Tompkins,2020,54.30%,Distance to Parks: 1/2 Mile,,Tompkins  ,16.9,
New York,Ulster,2020,52.30%,Distance to Parks: 1/2 Mile,,Ulster ,30.5,
New York,Warren,2020,88.70%,Distance to Parks: 1/2 Mile,,Warren  ,32.4,
New York,Washington,2020,27.40%,Distance to Parks: 1/2 Mile,,Washington ,32.6,
New York,Wayne,2020,28.70%,Distance to Parks: 1/2 Mile,,Wayne ,37.8,
New York,Westchester,2020,93.00%,Distance to Parks: 1/2 Mile,,Westchester ,25.2,
New York,Wyoming,2020,13.70%,Distance to Parks: 1/2 Mile,,Wyoming ,35.4,
New York,Yates,2020,8.90%,Distance to Parks: 1/2 Mile,,Yates ,31.8,